ID_2,NAME_2,Confirmed,Death,Cure,,,
1,Anqing,5,,,,,
2,Bengbu,1,,,,,
3,Bozhou,,,,,,
4,Chaohu,,,,,,
5,Chizhou,1,,,,,
6,Chuzhou,,,,,,
7,Fuyang,10,,,,,
8,Hefei,13,,,,,
9,Huaibei,1,,,,,
10,Huainan,1,,,,,
11,Huangshan,1,,,,,
12,Lu'an,3,,,,,
13,Ma'anshan,7,,,,,
14,Suzhou,2,,,,,
15,Tongling,3,,,,,
16,Wuhu,3,,,,,
17,Xuancheng,1,,,,,
18,Beijing,68,,,,,
19,Chongqing,75,,,,,
20,Fuzhou,13,,,,,
21,Longyan,,,,,,
22,Nanping,1,,,,,
23,Ningde,3,,,,,
24,Putian,1,,,,,
25,Quanzhou,5,,,,,
26,Sanming,4,,,,,
27,Xiamen,4,,,,,
28,Zhangzhou,4,,,,,
29,Baiyin,1,,,,,
30,Dingxi,1,,,,,
31,Gannan Tibetan,,,,,,
32,Jiayuguan,,,,,,
33,Jinchang,,,,,,
34,Jiuquan,,,,,,
35,Lanzhou,4,,,,,
36,Linxia Hui,1,,,,,
37,Longnan,,,,,,
38,Pingliang,,,,,,
39,Qingyang,,,,,,
40,Tianshui,,,,,,
41,Wuwei,,,,,,
42,Zhangye,,,,,,
43,Chaozhou,,,,,,
44,Dongguan,2,,,,,
45,Foshan,10,,,,,
46,Guangzhou,17,,,,,
47,Heyuan,,,,,,
48,Huizhou,8,,,,,
49,Jiangmen,,,,,,
50,Jieyang,3,,,,,
51,Maoming,,,,,,
52,Meizhou,1,,,,,
53,Qingyuan,3,,,,,
54,Shantou,2,,,,,
55,Shanwei,,,,,,
56,Shaoguan,4,,,,,
57,Shenzhen,31,,2,,,
58,Yangjiang,8,,,,,
59,Yunfu,,,,,,
60,Zhanjiang,4,,,,,
61,Zhaoqing,4,,,,,
62,Zhongshan,2,,,,,
63,Zhuhai,12,,,,,
64,Baise,2,,,,,
65,Beihai,,,,,,
66,Chongzuo,,,,,,
67,Fangchenggang,2,,,,,
68,Guigang,,,,,,
69,Guilin,11,,,,,
70,Hechi,3,,,,,
71,Hezhou,,,,,,
72,Laibin,,,,,,
73,Liuzhou,5,,,,,
74,Nanning,1,,,,,
75,Qinzhou,,,,,,
76,Wuzhou,2,,,,,
77,Yulin,1,,,,,
78,Anshun,,,,,,
79,Bijie,,,,,,
80,Guiyang,1,,,,,
81,Liupanshui,,,,,,
82,Qiandongnan Miao and Dong,,,,,,
83,Qiannan Buyei and Miao,1,,,,,
84,Qianxinan Buyei and Miao,1,,,,,
85,Tongren,2,,,,,
86,Zunyi,,,,,,
87,Haikou,3,,,,,
88,Hainan,20,,,,,
89,Sanya,8,,,,,
90,Baoding,3,,,,,
91,Cangzhou,2,1,,,,
92,Chengde,1,,,,,
93,Handan,2,,,,,
94,Hengshui,,,,,,
95,Langfang,,,,,,
96,Qinhuangdao,,,,,,
97,Shijiazhuang,5,,,,,
98,Tangshan,,,,,,
99,Xingtai,,,,,,
100,Zhangjiakou,,,,,,
101,Daqing,3,,,,,
102,Daxing'anling,,,,,,
103,Harbin,8,,,,,
104,Hegang,,,,,,
105,Heihe,,,,,,
106,Jiamusi,1,,,,,
107,Jixi,,,,,,
108,Mudanjiang,1,,,,,
109,Qiqihar,1,,,,,
110,Qitaihe,,,,,,
111,Shuangyashan,,,,,,
112,Suihua,2,1,,,,
113,Yichun,,,,,,
114,Anyang,3,,,,,
115,Hebi,5,,,,,
116,Jiaozuo,,,,,,
117,Jiyuan shi,,,,,,
118,Kaifeng,,,,,,
119,Luohe,3,,,,,
120,Luoyang,1,,,,,
121,Nanyang,15,1,,,,
122,Pingdingshan,2,,,,,
123,Puyang,,,,,,
124,Sanmenxia,2,,,,,
125,Shangqiu,,,,,,
126,Xinxiang,3,,,,,
127,Xinyang,22,,,,,
128,Xuchang,,,,,,
129,Zhengzhou,20,,,,,
130,Zhoukou,5,,,,,
131,Zhumadian,7,,,,,
132,Enshi Tujia and Miao,17,,,,,
133,Ezhou,1,,,,,
134,Huanggang,122,2,2,,,
135,Huangshi,,,,,,
136,Jingmen,38,1,,,,1
137,Jingzhou,33,2,,,,
138,Qianjiang,2,,,,,
139,Shennongjia,,,,,,
140,Shiyan,20,,,,,
141,Suizhou Shi,36,,,,,
142,Tianmen,5,,,,,
143,Wuhan,618,45,40,,,
144,Xiangfan,,,,,,
145,Xianning,43,,,,,
146,Xiantao,11,,,,,
147,Xiaogan,55,,,,,
148,Yichang,20,1,,,,
149,Changde,7,,,,,
150,Changsha,18,,,,,
151,Chenzhou,,,,,,
152,Hengyang,3,,,,,
153,Huaihua,8,,,,,
154,Loudi,5,,,,,
155,Shaoyang,2,,,,,
156,Xiangtan,3,,,,,
157,Xiangxi Tujia and Miao,3,,,,,
158,Yiyang,4,,,,,
159,Yongzhou,4,,,,,
160,Yueyang,6,,,,,
161,Zhangjiajie,,,,,,
162,Zhuzhou,3,,,,,
163,Changzhou,5,,,,,
164,Huai'an,1,,,,,
165,Lianyungang,3,,,,,
166,Nanjing,7,,,,,
167,Nantong,2,,,,,
168,Suqian,1,,,,,
169,Suzhou,7,,,,,
170,Taizhou,1,,,,,
171,Wuxi,2,,,,,
172,Xuzhou,,,,,,
173,Yancheng,1,,,,,
174,Yangzhou,1,,,,,
175,Zhenjiang,2,,,,,
176,Fuzhou,6,,,,,
177,Ganzhou,7,,,,,
178,Ji'an,,,,,,
179,Jingdezhen,1,,,,,
180,Jiujiang,2,,,,,
181,Nanchang,4,,,,,
182,Pingxiang,2,,,,,
183,Shangrao,6,,,,,
184,Xinyu,1,,,,,
185,Yichun,5,,,,,
186,Yingtan,,,,,,
187,Baicheng,,,,,,
188,Baishan,,,,,,
189,Changchun,1,,,,,
190,Jilin,2,,,,,
191,Liaoyuan,,,,,,
192,Siping,,,,,,
193,Songyuan,,,,,,
194,Tonghua,,,,,,
195,Yanbian Korean,,,,,,
196,Anshan,,,,,,
197,Benxi,2,,,,,
198,Chaoyang,2,,,,,
199,Dalian,4,,,,,
200,Dandong,1,,,,,
201,Fushun,,,,,,
202,Fuxin,,,,,,
203,Huludao,2,,,,,
204,Jinzhou,,,,,,
205,Liaoyang,,,,,,
206,Panjin,2,,,,,
207,Shenyang,6,,,,,
208,Tieling,2,,,,,
209,Alxa,,,,,,
210,Baotou,,,,,,
211,Baynnur,,,,,,
212,Chifeng,1,,,,,
213,Hohhot,,,,,,
214,Hulunbuir,1,,,,,
215,Ordos,2,,,,,
216,Tongliao,,,,,,
217,Ulaan Chab,,,,,,
218,Wuhai,,,,,,
219,Xilin Gol,2,,,,,
220,Xing'an,,,,,,
221,Guyuan,1,,,,,
222,Shizuishan,,,,,,
223,Wuzhong,,,,,,
224,Yinchuan,2,,,,,
225,Zhongwei,1,,,,,
226,Golog Tibetan,,,,,,
227,Gy├¬gu Tibetan,,,,,,
228,Haibei Tibetan,,,,,,
229,Haidong,,,,,,
230,Hainan Tibetan,,,,,,
231,Haixi Mongol and Tibetan,,,,,,
232,Huangnan Tibetan,,,,,,
233,Xining,1,,,,,
234,Ankang,3,,,,,
235,Baoji,,,,,,
236,Hanzhong,1,,,,,
237,Shangluo,1,,,,,
238,Tongchuan,5,,,,,
239,Weinan,,,,,,
240,Xi'an,8,,,,,
241,Xianyang,3,,,,,
242,Yan'an,1,,,,,
243,Yulin,,,,,,
244,Binzhou,3,,,,,
245,Dezhou,,,,,,
246,Dongying,,,,,,
247,Heze,1,,,,,
248,Jinan,5,,,,,
249,Jining,5,,,,,
250,Laiwu,,,,,,
251,Liaocheng,1,,,,,
252,Linyi,7,,,,,
253,Qingdao,8,,,,,
254,Rizhao,,,,,,
255,Tai'an,,,,,,
256,Weifang,2,,,,,
257,Weihai,4,,,,,
258,Yantai,2,,,,,
259,Zaozhuang,,,,,,
260,Zibo,1,,,,,
261,Shanghai,40,1,1,,,
262,Changzhi,1,,,,,
263,Datong,1,,,,,
264,Jincheng,,,,,,
265,Jinzhong,2,,,,,
266,Linfen,,,,,,
267,Luliang,,,,,,
268,Shuozhou,,,,,,
269,Taiyuan,2,,,,,
270,Xinzhou,,,,,,
271,Yangquan,1,,,,,
272,Yuncheng,2,,,,,
273,Bazhong,,,,,,
274,Chengdu,22,,,,,
275,Dazhou,1,,,,,
276,Deyang,1,,,,,
277,Garz├¬ Tibetan,2,,,,,
278,Guang'an,2,,,,,
279,Guangyuan,,,,,,
280,Leshan,1,,,,,
281,Liangshan Yi,,,,,,
282,Luzhou,2,,,,,
283,Meishan,1,,,,,
284,Mianyang,5,,,,,
285,Nanchong,2,,,,,
286,Neijiang]],,,,,,
287,Neijiang,1,,,,,
288,Ngawa Tibetan and Qiang,,,,,,
289,Panzhihua,,,,,,
290,Suining,2,,,,,
291,Ya'an,1,,,,,
292,Yibin,,,,,,
293,Zigong,1,,,,,
294,Ziyang,,,,,,
295,Tianjin,14,,,,,
296,Aksu,,,,,,
297,Altay,,,,,,
298,├£r├╝mqi,,,,,,
299,B├╢rtala Mongol,,,,,,
300,Bayin'gholin Mongol,,,,,,
301,Changji Hui,,,,,,
302,Hami,,,,,,
303,Ili Kazakh,,,,,,
304,Karamay,,,,,,
305,Kashgar,,,,,,
306,Khotan,,,,,,
307,Kizilsu Kirghiz,,,,,,
308,Shihezi,,,,,,
309,Tacheng,,,,,,
310,Turfan,,,,,,
311,Chamdo,,,,,,
312,Lhasa,,,,,,
313,Nagchu,,,,,,
314,Ngari,,,,,,
315,Nyingtri,,,,,,
316,Shannan,,,,,,
317,Shigatse,,,,,,
318,Baoshan,2,,,,,
319,Chuxiong Yi,,,,,,
320,D├¬q├¬n Tibetan,,,,,,
321,Dali Bai,1,,,,,
322,Dehong Dai and Jingpo,2,,,,,
323,Honghe Hani and Yi,,,,,,
324,Kunming,4,,,,,
325,Lijiang,2,,,,,
326,Lincang,,,,,,
327,Nujiang Lisu,,,,,,
328,Pu'er,,,,,,
329,Qujing,1,,,,,
330,Wenshan Zhuang and Miao,,,,,,
331,Xishuangbanna Dai,1,,,,,
332,Yuxi,1,,,,,
333,Zhaotong,1,,,,,
334,Hangzhou,27,,,,,
335,Huzhou,1,,,,,
336,Jiaxing,8,,,,,
337,Jinhua,3,,,,,
338,Lishui,3,,,,,
339,Ningbo,13,,,,,
340,Quzhou,,,,,,
341,Shaoxing,5,,,,,
342,Taizhou,21,,,,,
343,Wenzhou,18,,1,,,
344,Zhoushan,2,,,,,
